"実行日時: 2026-03-03 13:47:20"

"検索条件"
"集計単位: 商品別"
"集計期間: 全期間で集計 2026-02-23 - 2026-03-01"
"■■■■■商品・キーワードCPCを設定される際にはここから上は行ごと削除してください■■■■■"
"コントロールカラム","日付","商品ページURL","商品管理番号","入札単価","CTR(%)","商品CPC","クリック数(合計)","実績額(合計)","CPC実績(合計)","クリック数(新規)","実績額(新規)","CPC実績(新規)","クリック数(既存)","実績額(既存)","CPC実績(既存)","売上金額(合計12時間)","売上件数(合計12時間)","CVR(合計12時間)(%)","ROAS(合計12時間)(%)","注文獲得単価(合計12時間)","売上金額(合計720時間)","売上件数(合計720時間)","CVR(合計720時間)(%)","ROAS(合計720時間)(%)","注文獲得単価(合計720時間)","売上金額(新規12時間)","売上件数(新規12時間)","CVR(新規12時間)(%)","ROAS(新規12時間)(%)","注文獲得単価(新規12時間)","売上金額(新規720時間)","売上件数(新規720時間)","CVR(新規720時間)(%)","ROAS(新規720時間)(%)","注文獲得単価(新規720時間)","売上金額(既存12時間)","売上件数(既存12時間)","CVR(既存12時間)(%)","ROAS(既存12時間)(%)","注文獲得単価(既存12時間)","売上金額(既存720時間)","売上件数(既存720時間)","CVR(既存720時間)(%)","ROAS(既存720時間)(%)","注文獲得単価(既存720時間)"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy042-mgyokoof/","uvchy042-mgyokoof","35","0.26","","298","10516","36","293","10378","36","5","138","28","22740","7","2.34","216.24","1503","35340","12","4.02","336.05","877","22740","7","2.38","219.11","1483","35340","12","4.09","340.52","865","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy029-yokoof/","uvchy029-yokoof","32","0.13","","263","9746","38","259","9586","38","4","160","40","14120","4","1.52","144.87","2437","15318","5","1.90","157.17","1950","14120","4","1.54","147.29","2397","15318","5","1.93","159.79","1918","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy027-yokonesi/","uvchy027-yokonesi","30","0.09","","49","1407","29","49","1407","29","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy026-yokoneu/","uvchy026-yokoneu","25","0.29","","26","716","28","26","716","28","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy025-sei-nebig/","uvchy025-sei-nebig","27","0.22","","120","1977","17","119","1964","17","1","13","13","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy024-sei/","uvchy024-sei","32","0.06","","23","568","25","22","552","26","1","16","16","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy022-sei/","uvchy022-sei","22","0.19","","140","4047","29","140","4047","29","0","0","0","3580","1","0.71","88.46","4047","3580","1","0.71","88.46","4047","3580","1","0.71","88.46","4047","3580","1","0.71","88.46","4047","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy020-sei-neta/","uvchy020-sei-neta","22","0.00","","71","781","11","68","748","11","3","33","11","0","0","0.00","0.00","0","3980","1","1.40","509.60","781","0","0","0.00","0.00","0","3980","1","1.47","532.08","748","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy019-sei-nesi/","uvchy019-sei-nesi","26","0.00","","3","39","13","2","26","13","1","13","13","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy018-sei-neu/","uvchy018-sei-neu","26","0.27","","66","1163","18","65","1150","18","1","13","13","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
