"実行日時: 2026-03-03 13:47:34"

"検索条件"
"集計単位: キーワード"
"集計期間: 全期間で集計 2026-02-23 - 2026-03-01"
"■■■■■商品・キーワードCPCを設定される際にはここから上は行ごと削除してください■■■■■"
"コントロールカラム","日付","商品ページURL","商品管理番号","キーワード","CTR(%)","目安CPC","キーワードCPC","クリック数(合計)","実績額(合計)","CPC実績(合計)","クリック数(新規)","実績額(新規)","CPC実績(新規)","クリック数(既存)","実績額(既存)","CPC実績(既存)","売上金額(合計12時間)","売上件数(合計12時間)","CVR(合計12時間)(%)","ROAS(合計12時間)(%)","注文獲得単価(合計12時間)","売上金額(合計720時間)","売上件数(合計720時間)","CVR(合計720時間)(%)","ROAS(合計720時間)(%)","注文獲得単価(合計720時間)","売上金額(新規12時間)","売上件数(新規12時間)","CVR(新規12時間)(%)","ROAS(新規12時間)(%)","注文獲得単価(新規12時間)","売上金額(新規720時間)","売上件数(新規720時間)","CVR(新規720時間)(%)","ROAS(新規720時間)(%)","注文獲得単価(新規720時間)","売上金額(既存12時間)","売上件数(既存12時間)","CVR(既存12時間)(%)","ROAS(既存12時間)(%)","注文獲得単価(既存12時間)","売上金額(既存720時間)","売上件数(既存720時間)","CVR(既存720時間)(%)","ROAS(既存720時間)(%)","注文獲得単価(既存720時間)"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy042-mgyokoof/","uvchy042-mgyokoof","ポスト 表札 マグネット","2.94","40","","1","80","80","1","80","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy042-mgyokoof/","uvchy042-mgyokoof","会社 表札 マグネット","8.33","40","","1","80","80","1","80","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy042-mgyokoof/","uvchy042-mgyokoof","表札 マグネット 住所","2.85","40","","1","80","80","1","80","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy029-yokoof/","uvchy029-yokoof","ネームプレート","1.20","82","","9","572","64","9","572","64","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy029-yokoof/","uvchy029-yokoof","会社 表札 プレート","5.71","56","","6","332","56","6","332","56","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy029-yokoof/","uvchy029-yokoof","表札","3.91","293","","15","1193","80","15","1193","80","0","0","0","0","0","0.00","0.00","0","1198","1","6.66","100.41","1193","0","0","0.00","0.00","0","1198","1","6.66","100.41","1193","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy029-yokoof/","uvchy029-yokoof","表札 おしゃれ","3.12","239","","4","291","73","4","291","73","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy029-yokoof/","uvchy029-yokoof","表札 アクリル","6.29","40","","9","697","78","9","697","78","0","0","0","3980","1","11.11","571.01","697","3980","1","11.11","571.01","697","3980","1","11.11","571.01","697","3980","1","11.11","571.01","697","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy029-yokoof/","uvchy029-yokoof","表札 プレート","2.72","77","","3","163","55","3","163","55","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy029-yokoof/","uvchy029-yokoof","表札 戸建","2.17","86","","1","41","41","1","41","41","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy029-yokoof/","uvchy029-yokoof","表札 賃貸","10.00","40","","3","120","40","3","120","40","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy027-yokonesi/","uvchy027-yokonesi","表札 おしゃれ","1.78","400","","1","82","82","1","82","82","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy027-yokonesi/","uvchy027-yokonesi","表札 住所入り","5.79","40","","4","250","63","4","250","63","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy027-yokonesi/","uvchy027-yokonesi","表札 猫","4.16","131","","4","249","63","4","249","63","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy026-yokoneu/","uvchy026-yokoneu","表札 猫","6.73","124","","7","412","59","7","412","59","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy025-sei-nebig/","uvchy025-sei-nebig","表札 アクリル","4.54","94","","2","160","80","2","160","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy025-sei-nebig/","uvchy025-sei-nebig","表札 戸建て","5.06","290","","4","280","70","4","280","70","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy025-sei-nebig/","uvchy025-sei-nebig","表札 猫","5.40","151","","2","84","42","2","84","42","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy024-sei/","uvchy024-sei","表札 アクリル","1.53","67","","2","120","60","2","120","60","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy022-sei/","uvchy022-sei","表札","3.73","348","","15","1200","80","15","1200","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy022-sei/","uvchy022-sei","表札 アクリル","7.85","41","","11","800","73","11","800","73","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy022-sei/","uvchy022-sei","表札 シール","5.49","157","","5","364","73","5","364","73","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy022-sei/","uvchy022-sei","表札 正方形","5.95","74","","5","400","80","5","400","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uvchy018-sei-neu/","uvchy018-sei-neu","表札 猫","6.42","67","","7","364","52","7","364","52","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv038-clwkyo/","uv038-clwkyo","オリジナル ステッカー 作成","1.23","102","","1","40","40","1","40","40","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv038-clwkyo/","uv038-clwkyo","オーダー ステッカー","4.16","75","","1","80","80","1","80","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv038-clwkyo/","uv038-clwkyo","表札 シール","1.85","272","","1","80","80","1","80","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv036-wakuyoko/","uv036-wakuyoko","表札 ステッカー","3.84","80","","2","160","80","2","160","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
